"patient_id","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"TR032-0",0.012433,6.63022e-05,-0.000246936,-0.000269515,-0.00014754,8.80667e-05,-0.000209023,-0.000125235,-0.000425243,0.000539386
"TR001-0",0.0126991,1.81775e-05,-0.000445073,-0.000285871,-8.1874e-05,0.000103099,-0.000124974,-2.06579e-05,-0.000346691,0.000378106
"S06-093",-0.0066825,-0.000234022,-0.000360472,-0.000468584,-6.41578e-05,-0.000353189,-0.000383312,-0.000143891,-0.000189749,-0.000323564
"S06-074",-0.00578554,-2.59316e-05,9.03612e-06,-0.00068096,-0.00025782,-0.000615159,-0.000812799,-0.000361401,-0.000358322,-0.000109435
"S06-069",-0.0052938,9.52054e-05,-0.000341468,-0.000266606,1.94258e-05,-0.000241469,-0.000162361,-2.31678e-05,7.31395e-05,-0.000315911
"S06-002",-0.0068265,-0.000109078,-0.000147855,-0.000537674,-8.70591e-05,-0.000268083,-0.000204985,-0.000190261,-0.000232258,-0.000250711
"S05-149",-0.00654488,-0.000273581,-0.000339718,-0.000503078,-4.7187e-05,-0.000342873,-0.000272917,-0.000195241,-0.000232619,-0.000264066
"S05-134",-0.00695903,-8.60055e-05,-0.000225179,-0.000481981,-3.54591e-05,-0.000455232,-0.000126578,-0.000233039,-0.000206458,-0.0003206
"S05-096",0.115432,0.0146992,0.00336931,0.0205231,-0.00260515,0.0398288,-0.0109551,0.0777323,-0.00796197,-0.0461476
"S04-211",-0.00565882,-0.000171033,-0.000503313,-0.000228488,0.000172054,-0.000545509,-0.000175223,-0.00038992,-0.000225138,-0.000367852
"S04-128",0.112421,0.0294139,0.00590241,0.0172512,0.00992928,-0.00269971,0.0300209,0.0338087,0.0156761,0.0203147
"S04-101",-0.00684457,-7.91932e-05,-0.000147374,-0.000515454,-0.000152276,-0.000529317,-0.000327005,-0.000337995,-0.000446371,-0.000458503
"S04-064",0.0889224,0.013897,0.00461357,0.00217014,-0.0118071,0.00254673,0.0134352,0.00301974,0.00252526,-0.00412171
"S04-018",-0.0063917,-1.96117e-05,-0.000121117,-0.000433439,-4.33764e-06,-0.000302574,-3.53654e-05,-0.00023973,-0.000125733,-0.000356398
"S03-142",-0.00683596,-0.000138399,-0.00022759,-0.000375848,-0.000207393,-0.000194664,-0.000309958,-0.000269493,-0.000151286,-0.000300774
"S03-052",-0.00365788,6.75918e-05,-5.05421e-05,-0.000276811,0.000120498,-0.000422636,-0.000379942,-0.000305957,3.31334e-05,-0.000131817
"S03-024",-0.00701471,-5.52381e-05,-0.000283667,-0.000433981,-9.9592e-05,-0.000321928,-0.000197179,-0.000318181,-0.00038493,-0.000153228
"S02-079",-0.00696864,-1.62483e-06,-0.000253097,-0.000468297,-0.000130621,-0.000309764,-0.000265404,-0.000245535,-0.000172457,-0.000343431
"S02-069",-0.00659969,-1.44924e-05,-0.000153755,-0.00038406,-0.000175904,-0.000177387,-3.96528e-05,-0.00032188,-0.000116575,-0.000172248
"S02-062",-0.00691594,-9.8346e-05,-0.000102184,-0.00071198,-4.06595e-05,-0.00035594,-0.000303343,-0.000215367,-0.000175347,-0.000312045
"S02-049",-0.00666073,-6.10374e-05,-0.000196562,-0.000399127,-0.000349374,-0.000318284,-0.000105113,-0.000234839,-0.000357642,-0.000116731
"S02-034",-0.00698192,-0.000115734,-0.000155058,-0.000742362,-7.28417e-05,-0.000302109,-0.000212006,-0.000289782,-6.19939e-05,-0.000325386
"S01-071",-0.00663025,-7.41621e-05,-0.000138493,-0.000422874,8.40009e-05,-0.000297698,-0.000156358,-0.000295563,-0.000273841,-0.00021187
"S01-053",-0.00567969,0.000256802,0.000250486,0.000525709,8.39302e-05,0.000504067,0.000199386,0.000380709,0.000289706,0.000561908
"QW6",-0.00690849,-5.09629e-05,-0.000325385,-0.000451429,3.55222e-06,-0.000263176,-0.000211321,-0.000244605,-0.000355163,-0.000301585
"PD017A",0.012029,3.412e-05,-0.000294835,-0.00018898,1.21317e-05,4.70448e-05,-0.000214732,-5.82362e-05,-0.000193199,0.000533974
"MAT-135",0.0120386,-0.000219982,-0.000399178,-0.000300893,-7.68425e-05,0.000232406,-0.000102639,-0.000161042,-2.86414e-05,0.000439968
"ABB384",0.0126767,0.00014031,-0.000437991,-0.000413267,-1.53392e-05,-0.000173212,-2.0854e-05,-0.000216992,-0.000348085,0.000361874
"GB001373",-0.00665534,-9.94044e-05,-0.000174395,-0.000213028,-0.000201001,-0.000104847,-0.000429322,-0.000152971,-0.00012149,-0.000200566
"AF037710",-0.006671,-0.000115405,-0.00028402,-0.000546076,-0.000115075,-0.000450307,-0.00018826,-0.00024008,-0.000193691,-0.00033301
"ABB053",-0.00719948,-9.97117e-05,-0.000219812,-0.000392256,-9.52013e-05,-0.00034563,-0.000238367,-0.000266928,-0.000159762,-0.000414003
"AF037700",-0.00673913,4.01122e-05,-0.000368728,-0.000420262,-7.61021e-05,-0.000445184,-0.000226001,-0.000203263,-0.000201634,-0.000493263
"AF037699",-0.0065719,-0.000108016,-0.000168345,-0.000454829,-0.000217999,-0.000387235,-0.000247781,-0.000228958,-0.00014805,-0.000202009
"AF037698",-0.00601257,6.98625e-05,-0.000170092,-9.03628e-05,-0.000520515,-0.000266175,-0.000575082,-4.42243e-05,-7.54585e-05,-0.000155059
"AF037697",-0.00689879,-0.000514562,-0.000261167,-0.000482938,2.0559e-05,-0.00027395,-0.00019275,-0.000323738,-0.000243976,-0.000314944
